product_id;product_name;category;price;sales_count;discount_percent;rating;sale_date;region;seller_id;day_of_week;month;is_weekend;revenue;price_formatted;revenue_formatted
PROD_0001;Kopi Arabika;Makanan & Minuman;83500.0;15;0;3.8;2025-10-08;Bali;SELLER_001_1;2;10;0;1252500.0;Rp 83.500;Rp 1.252.500
PROD_0001;Kopi Arabika;Makanan & Minuman;84500.0;24;0;3.2;2025-10-09;Jawa Timur;SELLER_001_2;3;10;0;2028000.0;Rp 84.500;Rp 2.028.000
PROD_0001;Kopi Arabika;Makanan & Minuman;84100.0;26;0;4.0;2025-10-10;Kalimantan Timur;SELLER_001_2;4;10;0;2186600.0;Rp 84.100;Rp 2.186.600
PROD_0001;Kopi Arabika;Makanan & Minuman;83500.0;27;0;3.1;2025-10-11;Bali;SELLER_001_3;5;10;1;2254500.0;Rp 83.500;Rp 2.254.500
PROD_0001;Kopi Arabika;Makanan & Minuman;84200.0;20;15;3.9;2025-10-12;Sumatera Utara;SELLER_001_3;6;10;1;1431400.0;Rp 84.200;Rp 1.431.400
PROD_0001;Kopi Arabika;Makanan & Minuman;86700.0;14;5;3.1;2025-10-13;Kalimantan Timur;SELLER_001_2;0;10;0;1153100.0;Rp 86.700;Rp 1.153.100
PROD_0001;Kopi Arabika;Makanan & Minuman;86300.0;15;5;3.6;2025-10-14;Kalimantan Timur;SELLER_001_3;1;10;0;1229800.0;Rp 86.300;Rp 1.229.800
PROD_0001;Kopi Arabika;Makanan & Minuman;86300.0;22;0;3.5;2025-10-15;Sulawesi Selatan;SELLER_001_2;2;10;0;1898600.0;Rp 86.300;Rp 1.898.600
PROD_0001;Kopi Arabika;Makanan & Minuman;84700.0;21;0;3.5;2025-10-16;Sumatera Utara;SELLER_001_2;3;10;0;1778700.0;Rp 84.700;Rp 1.778.700
PROD_0001;Kopi Arabika;Makanan & Minuman;82300.0;24;0;4.5;2025-10-17;Bali;SELLER_001_3;4;10;0;1975200.0;Rp 82.300;Rp 1.975.200
PROD_0001;Kopi Arabika;Makanan & Minuman;81400.0;24;10;3.3;2025-10-18;Sumatera Utara;SELLER_001_1;5;10;1;1758200.0;Rp 81.400;Rp 1.758.200
PROD_0001;Kopi Arabika;Makanan & Minuman;82400.0;33;0;3.3;2025-10-19;Sumatera Utara;SELLER_001_2;6;10;1;2719200.0;Rp 82.400;Rp 2.719.200
PROD_0001;Kopi Arabika;Makanan & Minuman;82900.0;20;10;3.6;2025-10-20;Bali;SELLER_001_1;0;10;0;1492200.0;Rp 82.900;Rp 1.492.200
PROD_0001;Kopi Arabika;Makanan & Minuman;80500.0;25;0;2.8;2025-10-21;Jawa Tengah;SELLER_001_3;1;10;0;2012500.0;Rp 80.500;Rp 2.012.500
PROD_0001;Kopi Arabika;Makanan & Minuman;82000.0;18;20;2.7;2025-10-22;Jawa Barat;SELLER_001_2;2;10;0;1180800.0;Rp 82.000;Rp 1.180.800
PROD_0001;Kopi Arabika;Makanan & Minuman;83800.0;15;0;3.0;2025-10-23;Jakarta;SELLER_001_2;3;10;0;1257000.0;Rp 83.800;Rp 1.257.000
PROD_0001;Kopi Arabika;Makanan & Minuman;85800.0;19;0;3.7;2025-10-24;Jawa Timur;SELLER_001_3;4;10;0;1630200.0;Rp 85.800;Rp 1.630.200
PROD_0001;Kopi Arabika;Makanan & Minuman;82600.0;30;0;4.1;2025-10-25;Jawa Barat;SELLER_001_1;5;10;1;2478000.0;Rp 82.600;Rp 2.478.000
PROD_0001;Kopi Arabika;Makanan & Minuman;87000.0;20;20;3.5;2025-10-26;Sulawesi Selatan;SELLER_001_3;6;10;1;1392000.0;Rp 87.000;Rp 1.392.000
PROD_0001;Kopi Arabika;Makanan & Minuman;87300.0;23;0;3.0;2025-10-27;Jawa Barat;SELLER_001_3;0;10;0;2007900.0;Rp 87.300;Rp 2.007.900
PROD_0001;Kopi Arabika;Makanan & Minuman;79600.0;30;10;3.8;2025-10-28;Kalimantan Timur;SELLER_001_1;1;10;0;2149200.0;Rp 79.600;Rp 2.149.200
PROD_0001;Kopi Arabika;Makanan & Minuman;82600.0;18;0;3.6;2025-10-29;Kalimantan Timur;SELLER_001_2;2;10;0;1486800.0;Rp 82.600;Rp 1.486.800
PROD_0001;Kopi Arabika;Makanan & Minuman;80700.0;19;0;3.8;2025-10-30;Bali;SELLER_001_1;3;10;0;1533300.0;Rp 80.700;Rp 1.533.300
PROD_0001;Kopi Arabika;Makanan & Minuman;81600.0;16;0;4.1;2025-10-31;Jakarta;SELLER_001_2;4;10;0;1305600.0;Rp 81.600;Rp 1.305.600
PROD_0001;Kopi Arabika;Makanan & Minuman;83900.0;18;0;3.2;2025-11-01;Jawa Barat;SELLER_001_2;5;11;1;1510200.0;Rp 83.900;Rp 1.510.200
PROD_0001;Kopi Arabika;Makanan & Minuman;82200.0;17;0;3.8;2025-11-02;Bali;SELLER_001_3;6;11;1;1397400.0;Rp 82.200;Rp 1.397.400
PROD_0001;Kopi Arabika;Makanan & Minuman;84300.0;18;0;2.0;2025-11-03;Jawa Tengah;SELLER_001_3;0;11;0;1517400.0;Rp 84.300;Rp 1.517.400
PROD_0001;Kopi Arabika;Makanan & Minuman;81000.0;22;0;3.7;2025-11-04;Jawa Barat;SELLER_001_2;1;11;0;1782000.0;Rp 81.000;Rp 1.782.000
PROD_0001;Kopi Arabika;Makanan & Minuman;86300.0;23;0;3.6;2025-11-05;Sulawesi Selatan;SELLER_001_2;2;11;0;1984900.0;Rp 86.300;Rp 1.984.900
PROD_0001;Kopi Arabika;Makanan & Minuman;81400.0;19;0;2.7;2025-11-06;Jawa Tengah;SELLER_001_3;3;11;0;1546600.0;Rp 81.400;Rp 1.546.600
PROD_0001;Kopi Arabika;Makanan & Minuman;83800.0;12;0;3.3;2025-11-07;Sumatera Utara;SELLER_001_1;4;11;0;1005600.0;Rp 83.800;Rp 1.005.600
PROD_0001;Kopi Arabika;Makanan & Minuman;82400.0;20;0;4.1;2025-11-08;Jawa Timur;SELLER_001_2;5;11;1;1648000.0;Rp 82.400;Rp 1.648.000
PROD_0001;Kopi Arabika;Makanan & Minuman;80800.0;16;0;3.6;2025-11-09;Kalimantan Timur;SELLER_001_3;6;11;1;1292800.0;Rp 80.800;Rp 1.292.800
PROD_0001;Kopi Arabika;Makanan & Minuman;83000.0;30;5;3.7;2025-11-10;Kalimantan Timur;SELLER_001_1;0;11;0;2365500.0;Rp 83.000;Rp 2.365.500
PROD_0001;Kopi Arabika;Makanan & Minuman;81600.0;20;0;3.6;2025-11-11;Jawa Barat;SELLER_001_3;1;11;0;1632000.0;Rp 81.600;Rp 1.632.000
PROD_0001;Kopi Arabika;Makanan & Minuman;83100.0;20;15;3.5;2025-11-12;Jawa Tengah;SELLER_001_2;2;11;0;1412700.0;Rp 83.100;Rp 1.412.700
PROD_0001;Kopi Arabika;Makanan & Minuman;84100.0;18;0;3.0;2025-11-13;Kalimantan Timur;SELLER_001_1;3;11;0;1513800.0;Rp 84.100;Rp 1.513.800
PROD_0001;Kopi Arabika;Makanan & Minuman;80400.0;18;0;3.6;2025-11-14;Kalimantan Timur;SELLER_001_3;4;11;0;1447200.0;Rp 80.400;Rp 1.447.200
PROD_0001;Kopi Arabika;Makanan & Minuman;86800.0;29;0;2.4;2025-11-15;Sumatera Utara;SELLER_001_2;5;11;1;2517200.0;Rp 86.800;Rp 2.517.200
PROD_0001;Kopi Arabika;Makanan & Minuman;83300.0;22;0;2.3;2025-11-16;Jawa Tengah;SELLER_001_2;6;11;1;1832600.0;Rp 83.300;Rp 1.832.600
PROD_0001;Kopi Arabika;Makanan & Minuman;85700.0;26;0;3.0;2025-11-17;Sulawesi Selatan;SELLER_001_3;0;11;0;2228200.0;Rp 85.700;Rp 2.228.200
PROD_0001;Kopi Arabika;Makanan & Minuman;83400.0;18;0;2.6;2025-11-18;Jawa Timur;SELLER_001_3;1;11;0;1501200.0;Rp 83.400;Rp 1.501.200
PROD_0001;Kopi Arabika;Makanan & Minuman;85100.0;18;10;4.2;2025-11-19;Sumatera Utara;SELLER_001_1;2;11;0;1378600.0;Rp 85.100;Rp 1.378.600
PROD_0001;Kopi Arabika;Makanan & Minuman;82100.0;24;0;4.0;2025-11-20;Jawa Barat;SELLER_001_2;3;11;0;1970400.0;Rp 82.100;Rp 1.970.400
PROD_0001;Kopi Arabika;Makanan & Minuman;83100.0;20;0;3.1;2025-11-21;Jawa Barat;SELLER_001_3;4;11;0;1662000.0;Rp 83.100;Rp 1.662.000
PROD_0001;Kopi Arabika;Makanan & Minuman;87200.0;20;0;3.7;2025-11-22;Kalimantan Timur;SELLER_001_3;5;11;1;1744000.0;Rp 87.200;Rp 1.744.000
PROD_0001;Kopi Arabika;Makanan & Minuman;85500.0;15;10;3.9;2025-11-23;Sumatera Utara;SELLER_001_2;6;11;1;1154200.0;Rp 85.500;Rp 1.154.200
PROD_0001;Kopi Arabika;Makanan & Minuman;82700.0;18;0;3.3;2025-11-24;Jawa Tengah;SELLER_001_2;0;11;0;1488600.0;Rp 82.700;Rp 1.488.600
PROD_0001;Kopi Arabika;Makanan & Minuman;82200.0;31;15;3.9;2025-11-25;Sumatera Utara;SELLER_001_2;1;11;0;2166000.0;Rp 82.200;Rp 2.166.000
PROD_0001;Kopi Arabika;Makanan & Minuman;83500.0;19;0;3.3;2025-11-26;Sulawesi Selatan;SELLER_001_1;2;11;0;1586500.0;Rp 83.500;Rp 1.586.500
PROD_0001;Kopi Arabika;Makanan & Minuman;86100.0;20;0;3.8;2025-11-27;Jawa Barat;SELLER_001_1;3;11;0;1722000.0;Rp 86.100;Rp 1.722.000
PROD_0001;Kopi Arabika;Makanan & Minuman;80100.0;24;0;3.0;2025-11-28;Jawa Timur;SELLER_001_2;4;11;0;1922400.0;Rp 80.100;Rp 1.922.400
PROD_0001;Kopi Arabika;Makanan & Minuman;83300.0;14;0;2.8;2025-11-29;Sulawesi Selatan;SELLER_001_2;5;11;1;1166200.0;Rp 83.300;Rp 1.166.200
PROD_0001;Kopi Arabika;Makanan & Minuman;86000.0;24;0;2.8;2025-11-30;Sumatera Utara;SELLER_001_1;6;11;1;2064000.0;Rp 86.000;Rp 2.064.000
PROD_0001;Kopi Arabika;Makanan & Minuman;94500.0;20;10;2.1;2025-12-01;Bali;SELLER_001_2;0;12;0;1701000.0;Rp 94.500;Rp 1.701.000
PROD_0001;Kopi Arabika;Makanan & Minuman;94400.0;19;0;3.5;2025-12-02;Sumatera Utara;SELLER_001_1;1;12;0;1793600.0;Rp 94.400;Rp 1.793.600
PROD_0001;Kopi Arabika;Makanan & Minuman;95500.0;26;0;3.7;2025-12-03;Jakarta;SELLER_001_3;2;12;0;2483000.0;Rp 95.500;Rp 2.483.000
PROD_0001;Kopi Arabika;Makanan & Minuman;91600.0;24;0;4.1;2025-12-04;Bali;SELLER_001_3;3;12;0;2198400.0;Rp 91.600;Rp 2.198.400
PROD_0001;Kopi Arabika;Makanan & Minuman;99700.0;28;0;3.4;2025-12-05;Sumatera Utara;SELLER_001_1;4;12;0;2791600.0;Rp 99.700;Rp 2.791.600
